time,latitude,longitude,depth_pressure,TEMPERATURE,SALINITY
27660.57314814815,-15.65407833,89.88003166666667,175.1,17.048,35.544
27660.57314814815,-15.65407833,89.88003166666667,177.1,17.004,35.563
27660.57314814815,-15.65407833,89.88003166666667,179.3,16.998,35.568
27660.57314814815,-15.65407833,89.88003166666667,181.4,17.001,35.581
27660.57314814815,-15.65407833,89.88003166666667,183.5,16.93,35.583
27660.57314814815,-15.65407833,89.88003166666667,185.5,16.838,35.592
27660.57314814815,-15.65407833,89.88003166666667,187.6,16.614,35.6
27660.57314814815,-15.65407833,89.88003166666667,189.8,16.417,35.589
27660.57314814815,-15.65407833,89.88003166666667,191.5,16.341,35.575
27660.57314814815,-15.65407833,89.88003166666667,193.1,16.329,35.573
27660.57314814815,-15.65407833,89.88003166666667,195.3,16.302,35.569
27660.57314814815,-15.65407833,89.88003166666667,197.6,16.28,35.565
27660.57314814815,-15.65407833,89.88003166666667,199.7,16.192,35.553
27660.57314814815,-15.65407833,89.88003166666667,201.9,16.156,35.547
27660.57314814815,-15.65407833,89.88003166666667,203.5,16.151,35.544
27660.57314814815,-15.65407833,89.88003166666667,205,16.034,35.525
27660.57314814815,-15.65407833,89.88003166666667,207.1,15.667,35.458
27660.57314814815,-15.65407833,89.88003166666667,209.2,15.322,35.379
27660.57314814815,-15.65407833,89.88003166666667,211.3,14.984,35.312
27660.57314814815,-15.65407833,89.88003166666667,213.3,14.846,35.296
27660.57314814815,-15.65407833,89.88003166666667,215.3,14.672,35.276
27660.57314814815,-15.65407833,89.88003166666667,217.3,14.427,35.249
27660.57314814815,-15.65407833,89.88003166666667,219.3,14.276,35.21
27660.57314814815,-15.65407833,89.88003166666667,221.3,14.158,35.199
27660.57314814815,-15.65407833,89.88003166666667,223.4,14.1,35.183
27660.57314814815,-15.65407833,89.88003166666667,225.4,14.017,35.165
27660.57314814815,-15.65407833,89.88003166666667,227.5,13.817,35.134
27660.57314814815,-15.65407833,89.88003166666667,229.7,13.697,35.112
27660.57314814815,-15.65407833,89.88003166666667,231.4,13.638,35.102
27660.57314814815,-15.65407833,89.88003166666667,233.5,13.522,35.081
27660.57314814815,-15.65407833,89.88003166666667,235.6,13.368,35.059
27660.57314814815,-15.65407833,89.88003166666667,237.3,13.302,35.04
27660.57314814815,-15.65407833,89.88003166666667,239.4,13.105,35.018
27660.57314814815,-15.65407833,89.88003166666667,241.6,13.038,35.007
27660.57314814815,-15.65407833,89.88003166666667,243.4,12.966,35
27660.57314814815,-15.65407833,89.88003166666667,245.1,12.876,34.991
27660.57314814815,-15.65407833,89.88003166666667,247.4,12.842,34.987
27660.57314814815,-15.65407833,89.88003166666667,249.5,12.799,34.985
27660.57314814815,-15.65407833,89.88003166666667,251.3,12.79,34.984
27660.57314814815,-15.65407833,89.88003166666667,253.1,12.775,34.981
27660.57314814815,-15.65407833,89.88003166666667,255.3,12.739,34.978
27660.57314814815,-15.65407833,89.88003166666667,257.3,12.633,34.972
27660.57314814815,-15.65407833,89.88003166666667,259.4,12.475,34.953
27660.57314814815,-15.65407833,89.88003166666667,261.5,12.38,34.943
27660.57314814815,-15.65407833,89.88003166666667,263.2,12.325,34.938
27660.57314814815,-15.65407833,89.88003166666667,265.4,12.327,34.946
27660.57314814815,-15.65407833,89.88003166666667,267.6,12.29,34.946
27660.57314814815,-15.65407833,89.88003166666667,269.5,12.276,34.948
27660.57314814815,-15.65407833,89.88003166666667,271.3,12.256,34.951
27660.57314814815,-15.65407833,89.88003166666667,273.3,12.23,34.951
27660.57314814815,-15.65407833,89.88003166666667,275.2,12.219,34.95
27660.57314814815,-15.65407833,89.88003166666667,277,12.172,34.955
27660.57314814815,-15.65407833,89.88003166666667,279.4,12.116,34.956
27660.57314814815,-15.65407833,89.88003166666667,281.8,12.103,34.954
27660.57314814815,-15.65407833,89.88003166666667,283.7,12.099,34.955
27660.57314814815,-15.65407833,89.88003166666667,285.6,12.095,34.955
27660.57314814815,-15.65407833,89.88003166666667,287.4,12.066,34.964
27660.57314814815,-15.65407833,89.88003166666667,289.3,12.026,34.971
27660.57314814815,-15.65407833,89.88003166666667,291.2,11.908,34.956
27660.57314814815,-15.65407833,89.88003166666667,293.2,11.855,34.953
27660.57314814815,-15.65407833,89.88003166666667,295.1,11.79,34.95
27660.57314814815,-15.65407833,89.88003166666667,297.1,11.767,34.947
27660.57314814815,-15.65407833,89.88003166666667,299.1,11.76,34.946
27660.57314814815,-15.65407833,89.88003166666667,301.1,11.724,34.941
27660.57314814815,-15.65407833,89.88003166666667,303.1,11.684,34.938
27660.57314814815,-15.65407833,89.88003166666667,305,11.66,34.937
27660.57314814815,-15.65407833,89.88003166666667,307,11.622,34.934
27660.57314814815,-15.65407833,89.88003166666667,309,11.581,34.936
27660.57314814815,-15.65407833,89.88003166666667,310.9,11.511,34.929
27660.57314814815,-15.65407833,89.88003166666667,313.4,11.439,34.913
27660.57314814815,-15.65407833,89.88003166666667,315.9,11.352,34.908
27660.57314814815,-15.65407833,89.88003166666667,317.8,11.314,34.905
27660.57314814815,-15.65407833,89.88003166666667,319.8,11.284,34.903
27660.57314814815,-15.65407833,89.88003166666667,321.7,11.21,34.896
27660.57314814815,-15.65407833,89.88003166666667,323.6,11.16,34.891
27660.57314814815,-15.65407833,89.88003166666667,325.5,11.126,34.887
27660.57314814815,-15.65407833,89.88003166666667,327.3,11.078,34.881
27660.57314814815,-15.65407833,89.88003166666667,329.2,11.039,34.877
27660.57314814815,-15.65407833,89.88003166666667,331.1,10.991,34.871
